feature,mean,std
MEDICOS_SUS_TOTAL,0.10382513661202186,0.012218950696720169
CASOS_ZIKA_CUMUL_LAG1,0.07395264116575591,0.009781946507903498
LEITOS_OBSTETRICIA_SUS,0.06848816029143896,0.007157334318538621
LEITOS_UTI_NEONATAL_SUS,0.06502732240437159,0.009181845654738474
UFRES_31.0,0.051730418943533696,0.007693519884132199
UFRES_35.0,0.02695810564663023,0.004665299990843611
FEBRE_GES_1.0,0.022404371584699455,0.005282331511839702
UFRES_22.0,0.02204007285974497,0.0009809043364543818
FEBRE_GES_9.0,0.021493624772313293,0.008137817086953972
UFRES_25.0,0.019489981785063747,0.0023112163097357852
IDADEGES,0.016939890710382516,0.010930479554591989
FEBRE_GES_2.0,0.014389799635701273,0.005307396096296337
UFRES_52.0,0.012750455373406184,0.0018214936247723079
UFRES_29.0,0.01147540983606557,0.0021629038409905245
UFRES_32.0,0.009289617486338803,0.0034028309093386924
UFRES_33.0,0.008196721311475402,0.003075035157765772
UFRES_26.0,0.005828779599271411,0.005631921615205935
UFRES_43.0,0.004189435336976322,0.002827718523908925
UFRES_50.0,0.003642987249544649,0.0
UFRES_41.0,0.002914389799635708,0.0008923459900849656
UFRES_21.0,0.0027322404371584786,0.002193368775736305
UFRES_24.0,0.0020036429872495433,0.0032018935940340445
UFRES_27.0,0.002003642987249532,0.0005464480874317058
UFRES_28.0,0.0018214936247723025,0.0008145967131146825
UFRES_17.0,0.0016393442622950783,0.0012750455373406252
UFRES_42.0,0.0010928961748633947,0.0021857923497267755
EXANT_GES_4.0,0.0007285974499089242,0.0016694264826797177
UFRES_23.0,0.00036429872495446494,0.0017846919801698924
UFRES_53.0,0.00018214936247722968,0.000546448087431689
UFRES_16.0,0.0,0.0
EXANT_GES_nan,0.0,0.0
UFRES_15.0,0.0,0.0
UFRES_11.0,0.0,0.0
UFRES_12.0,0.0,0.0
UFRES_14.0,0.0,0.0
UFRES_nan,0.0,0.0
FEBRE_GES_nan,0.0,0.0
EXANT_GES_2.0,-0.0005464480874316946,0.0038251366120218592
UFRES_13.0,-0.0007285974499089242,0.0014571948998178485
EXANT_GES_3.0,-0.0020036429872495433,0.002367941712204006
UFRES_51.0,-0.0038251366120218787,0.000546448087431689
EXANT_GES_1.0,-0.010200364298724951,0.004622432619471593
EXANT_GES_9.0,-0.01602914389799636,0.0074123824952188645
EXANT_GES_5.0,-0.027140255009107474,0.00511641963759131
