feature,mean,std
LEITOS_UTI_NEONATAL_SUS,0.07482014388489207,0.006593634093461633
CASOS_ZIKA_CUMUL_LAG1,0.07284172661870501,0.00840719128958291
LEITOS_OBSTETRICIA_SUS,0.06816546762589926,0.010804847694874525
MEDICOS_SUS_TOTAL,0.05917266187050359,0.008936876437989101
UFRES_35.0,0.019424460431654668,0.008913317765009988
UFRES_52.0,0.018165467625899268,0.0029498596163411474
UFRES_31.0,0.017086330935251793,0.0051659736030018125
UFRES_29.0,0.01097122302158271,0.003637364823049788
IDADEGES,0.010791366906474798,0.007058063622427547
UFRES_53.0,0.009892086330935223,0.0024463076454560445
FEBRE_GES_2.0,0.009712230215827334,0.007336718724593931
EXANT_GES_1.0,0.008812949640287759,0.009080507598103853
UFRES_42.0,0.008633093525179802,0.0010791366906474753
UFRES_26.0,0.004316546762589901,0.0021582733812949505
UFRES_22.0,0.004136690647481988,0.0011516410498979871
FEBRE_GES_9.0,0.0037769784172661637,0.004136690647481988
UFRES_21.0,0.0025179856115107755,0.0011930305001278342
UFRES_15.0,0.0017985611510791255,0.0
UFRES_16.0,0.0017985611510791255,0.0
UFRES_11.0,0.001618705035971213,0.0009685548214270631
UFRES_43.0,0.0012589928057553878,0.0031203869735426915
UFRES_32.0,0.0008992805755395628,0.0014500463576076438
UFRES_13.0,0.0008992805755395628,0.0008992805755395628
FEBRE_GES_1.0,0.0007194244604316613,0.005099801035524392
UFRES_17.0,0.0007194244604316502,0.0011930305001278344
EXANT_GES_4.0,0.0005395683453237376,0.0016187050359712128
UFRES_51.0,0.0003597122302158251,0.0010791366906474753
UFRES_12.0,0.0,0.0
UFRES_28.0,0.0,0.0008043409991006388
EXANT_GES_nan,0.0,0.0
UFRES_nan,0.0,0.0
FEBRE_GES_nan,0.0,0.0
UFRES_50.0,0.0,0.0
UFRES_25.0,-0.0005395683453237376,0.0014047211647314037
UFRES_27.0,-0.0010791366906474753,0.0018341796811484725
UFRES_14.0,-0.001618705035971213,0.0005395683453237376
UFRES_24.0,-0.001618705035971213,0.0016967591964130477
UFRES_33.0,-0.001618705035971224,0.0033599895129980913
UFRES_41.0,-0.0017985611510791255,0.0
UFRES_23.0,-0.003956834532374087,0.0013459199232999971
EXANT_GES_2.0,-0.010971223021582766,0.0037252365426633043
EXANT_GES_9.0,-0.012410071942446078,0.0037252365426632826
EXANT_GES_3.0,-0.01474820143884894,0.0013459199232999704
EXANT_GES_5.0,-0.02428057553956837,0.0085218401010663
